ID,Precondition,Title,Expected Result,Status,Comment/Link
10.1,"1. All tests passed in the ""Universes"" section.
2. ""Get into practice!"" screen is opened.",Tap the [Create account] button.,Redirects to Dzengi.com.,,
10.2,"1. All tests passed in the ""Universes"" section.
2. ""Get into practice!"" screen is opened.
3. ""Keep studying!"" screen is opened.",Tap the [Go to] button.,Redirects to ""Dzengi.com Academy"".,,
10.3,"1. All tests passed in the ""Universes"" section.
2. ""Get into practice!"" screen is opened.
3. ""Keep studying!"" screen is opened.
4. ""Follow us on social media!"" screen is opened.",Tap the ""Instagram"" link.,Redirects to ""Криптобиржа Dzengi.com"" Instagram.,,
10.4,,"Tap the ""Telegram"" link.",Redirects to Dzengi.com Telegram.,,
10.5,,"Tap the ""Facebook"" link.",Redirects to ""Криптобиржа Dzengi.com"" Facebook.,,
10.6,,"Tap the ""Tiktok"" link.",Redirects to ""Криптобиржа Dzengi.com"" Tiktok.,,
10.7,,"Tap the ""X"" link.",Redirects to ""Криптобиржа Dzengi.com"" X.,,
10.8,,"Tap the ""OK"" link.",Redirects to ""Криптобиржа Dzengi.com"" OK.,,
10.9,,"Tap the ""VK"" link.",Redirects to ""Криптобиржа Dzengi.com"" VK.,,
10.10,,"Tap the ""YouTube"" link.",Redirects to ""Академия Dzengi.com"" YouTube.,,
